date;rx_power
2014-02-13 16:17:53;-50.7
2014-02-13 16:19:10;-50.7
2014-02-13 16:19:27;-50.4
2014-02-13 16:19:43;-50.4
2014-02-13 16:19:58;-50.7
2014-02-13 16:20:14;-50.7
2014-02-13 16:20:29;-50.4
2014-02-13 16:20:44;-50.7
2014-02-13 16:21:00;-50.7
2014-02-13 16:21:15;-50.7
2014-02-13 16:21:30;-50.4
2014-02-13 16:21:46;-50.7
2014-02-13 16:22:01;-50.7
2014-02-13 16:22:16;-50.7
2014-02-13 16:22:32;-50.7
2014-02-13 16:22:47;-50.4
2014-02-13 16:23:04;-50.7
2014-02-13 16:23:20;-50.7
2014-02-13 16:23:37;-50.4
2014-02-13 16:23:54;-50.7
2014-02-13 16:25:11;-50.7
2014-02-13 16:25:26;-50.4
2014-02-13 16:25:41;-50.4
2014-02-13 16:25:57;-50.7
2014-02-13 16:26:12;-50.7
2014-02-13 16:26:27;-50.7
2014-02-13 16:26:43;-50.4
2014-02-13 16:26:58;-50.4
2014-02-13 16:31:06;-52
2014-02-13 16:31:22;-52
2014-02-13 16:31:38;-52.3
2014-02-13 16:31:53;-52.3
2014-02-13 16:37:01;-50.7
2014-02-13 16:49:17;-50.7
2014-02-13 16:49:33;-50.7
2014-02-13 16:49:48;-50.7
2014-02-13 16:52:10;-50.4
2014-02-13 16:52:26;-50.4
2014-02-13 16:52:41;-50.7
2014-02-13 16:52:57;-50.7
2014-02-13 16:55:00;-50.7
2014-02-13 16:56:02;-50.7
2014-02-13 16:56:18;-50.7
2014-02-13 16:56:35;-50.7
2014-02-13 16:56:51;-50.4
2014-02-13 16:57:07;-50.4
2014-02-13 16:57:22;-50.4
2014-02-13 16:57:38;-50.7
2014-02-13 16:57:53;-50.4
2014-02-13 16:58:08;-50.4
2014-02-13 16:58:23;-50.7
2014-02-13 16:58:39;-50.7
2014-02-13 16:58:54;-50.7
2014-02-13 16:59:10;-50.7
2014-02-13 16:59:25;-50.7
2014-02-13 16:59:41;-50.4
2014-02-13 16:59:57;-50.4
2014-02-13 17:00:13;-50.4
2014-02-13 17:00:28;-50.7
2014-02-13 17:00:44;-50.7
2014-02-13 17:00:59;-50.7
2014-02-13 17:04:05;-50.7
2014-02-13 17:04:21;-50.7
2014-02-13 17:04:36;-50.7
2014-02-13 17:04:51;-50.4
2014-02-13 17:07:11;-50.7
2014-02-13 17:07:27;-50.7
2014-02-13 17:07:42;-50.7
2014-02-13 17:07:57;-50.7
2014-02-13 17:08:13;-50.4
2014-02-13 17:08:28;-50.7
2014-02-13 17:08:44;-50.7
2014-02-13 17:09:00;-50.7
2014-02-13 17:09:16;-50.4
2014-02-13 17:09:16;-50.4
2014-02-13 17:09:31;-50.7
2014-02-13 17:09:31;-50.7
2014-02-13 17:09:47;-50.7
2014-02-13 17:09:47;-50.7
2014-02-13 17:10:02;-50.4
2014-02-13 17:11:03;-50.7
2014-02-13 17:11:19;-50.7
2014-02-13 17:11:34;-50.7
2014-02-13 17:11:49;-50.7
2014-02-13 17:16:17;-50.4
2014-02-13 17:16:32;-50.4
2014-02-13 17:16:48;-50.4
2014-02-13 17:17:03;-50.4
2014-02-13 17:17:18;-50.4
2014-02-13 17:17:34;-50.7
2014-02-13 17:17:49;-50.4
2014-02-13 17:18:04;-50.7
2014-02-13 17:18:29;-50.7
2014-02-13 17:18:45;-50.4
